technology,airbending,source,DataManager@27.03.2019 13:31:40
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
QStE380TM,6,4,41.5,134.2,-3.47,0,11.6
QStE380TM,6,4,41.5,135,-3.39,0,11.7
QStE380TM,6,4,41.5,137.1,-3.18,0,12.4
QStE380TM,6,4,41.5,140,-2.89,0,13
QStE380TM,6,4,41.5,143,-2.62,0,15
QStE380TM,6,4,41.5,146,-2.36,0,15.7
QStE380TM,6,4,41.5,149.3,-2.08,0,17.6
QStE380TM,6,4,41.5,150,-2.02,0,17.7
QStE380TM,6,4,41.5,152.3,-1.84,0,19.8
QStE380TM,6,4,41.5,155.3,-1.61,0,22.1
QStE380TM,6,4,41.5,158.2,-1.39,0,25.9
QStE380TM,6,4,41.5,161.2,-1.17,0,29.6
QStE380TM,6,4,41.5,164.2,-0.97,0,43.9
QStE380TM,6,4,41.5,167.1,-0.78,0,59.9
QStE380TM,6,4,41.5,170,-0.59,0,74.9
QStE380TM,6,4,41.5,172.8,-0.42,0,127.3
QStE380TM,6,4,41.5,175.7,-0.25,0,179.6
QStE380TM,6,4,41.5,178.4,-0.09,0,232
QStE380TM,8,4,50,87.5,-14.5,-12.86,7.2
QStE380TM,8,4,50,89.4,-13.94,-13.55,7.2
QStE380TM,8,4,50,90,-13.78,-13.78,7.4
QStE380TM,8,4,50,91,-13.48,0,7.5
QStE380TM,8,4,50,92.8,-12.94,0,7.6
QStE380TM,8,4,50,94.6,-12.43,0,7.7
QStE380TM,8,4,50,96.5,-11.87,0,7.9
QStE380TM,8,4,50,98.4,-11.38,0,8.1
QStE380TM,8,4,50,100.2,-10.91,0,8.3
QStE380TM,8,4,50,102.2,-10.42,0,8.6
QStE380TM,8,4,50,104.3,-9.9,0,8.7
QStE380TM,8,4,50,105,-9.75,0,8.7
QStE380TM,8,4,50,106.3,-9.45,0,9
QStE380TM,8,4,50,108.3,-9.03,0,9.2
QStE380TM,8,4,50,110.4,-8.59,0,9.5
QStE380TM,8,4,50,112.8,-8.1,0,9.8
QStE380TM,8,4,50,115,-7.68,0,10.1
QStE380TM,8,4,50,117.1,-7.29,0,10.5
QStE380TM,8,4,50,119.3,-6.9,0,10.6
QStE380TM,8,4,50,120,-6.79,0,10.7
QStE380TM,8,4,50,121.6,-6.53,0,11.1
QStE380TM,8,4,50,123.8,-6.16,0,11.4
QStE380TM,8,4,50,126.1,-5.8,0,11.9
QStE380TM,8,4,50,128.4,-5.45,0,12.4
QStE380TM,8,4,50,130.8,-5.1,0,13.1
QStE380TM,8,4,50,133.2,-4.76,0,13.8
QStE380TM,8,4,50,135,-4.52,0,14.4
QStE380TM,8,4,50,135.6,-4.44,0,15.1
QStE380TM,8,4,50,138,-4.12,0,15.7
QStE380TM,8,4,50,140.4,-3.81,0,16.7
QStE380TM,8,4,50,142.8,-3.52,0,17.8
QStE380TM,8,4,50,145.3,-3.23,0,18.9
QStE380TM,8,4,50,147.7,-2.96,0,21.1
QStE380TM,8,4,50,150,-2.7,0,23.3
QStE380TM,8,4,50,150.1,-2.69,0,23.3
QStE380TM,8,4,50,152.7,-2.42,0,24
QStE380TM,8,4,50,155.1,-2.16,0,28.9
QStE380TM,8,4,50,157.5,-1.92,0,26.1
QStE380TM,8,4,50,160.1,-1.67,0,39.2
QStE380TM,8,4,50,162.5,-1.45,0,48.2
QStE380TM,8,4,50,164.9,-1.23,0,57.3
QStE380TM,8,4,50,167.3,-1.02,0,81.5
QStE380TM,8,4,50,169.6,-0.82,0,106.2
QStE380TM,8,4,50,172,-0.63,0,155.6
QStE380TM,8,4,50,174.3,-0.44,0,205
QStE380TM,8,4,50,176.7,-0.25,0,254.5
QStE380TM,8,4,50,178.9,-0.08,0,303.8
QStE380TM,8,4,60,87,-15.26,-13.07,7.2
QStE380TM,8,4,60,88.2,-14.81,-13.52,7.4
QStE380TM,8,4,60,89.6,-14.34,-14.03,7.6
QStE380TM,8,4,60,90,-14.2,-14.2,7.7
QStE380TM,8,4,60,90.9,-13.88,0,7.8
QStE380TM,8,4,60,92.4,-13.4,0,8
QStE380TM,8,4,60,93.8,-12.95,0,8.1
QStE380TM,8,4,60,95.3,-12.51,0,8.3
QStE380TM,8,4,60,96.7,-12.09,0,8.5
QStE380TM,8,4,60,98.2,-11.67,0,8.7
QStE380TM,8,4,60,99.7,-11.27,0,8.9
QStE380TM,8,4,60,101.2,-10.87,0,9.1
QStE380TM,8,4,60,102.7,-10.48,0,9.3
QStE380TM,8,4,60,104.3,-10.1,0,9.5
QStE380TM,8,4,60,105,-9.93,0,9.8
QStE380TM,8,4,60,105.9,-9.72,0,9.9
QStE380TM,8,4,60,107.5,-9.35,0,10.1
QStE380TM,8,4,60,109.1,-8.99,0,10.3
QStE380TM,8,4,60,110.8,-8.63,0,10.5
QStE380TM,8,4,60,112.4,-8.29,0,10.8
QStE380TM,8,4,60,114.1,-7.95,0,11.1
QStE380TM,8,4,60,115.8,-7.62,0,11.3
QStE380TM,8,4,60,117.5,-7.29,0,11.5
QStE380TM,8,4,60,119.2,-6.98,0,11.7
QStE380TM,8,4,60,120,-6.85,0,11.9
QStE380TM,8,4,60,121,-6.67,0,12.2
QStE380TM,8,4,60,122.8,-6.37,0,12.6
QStE380TM,8,4,60,124.6,-6.07,0,13
QStE380TM,8,4,60,126.4,-5.78,0,13.4
QStE380TM,8,4,60,128.4,-5.46,0,13.9
QStE380TM,8,4,60,130.2,-5.18,0,14.4
QStE380TM,8,4,60,132.1,-4.91,0,14.9
QStE380TM,8,4,60,134,-4.65,0,15.6
QStE380TM,8,4,60,135,-4.51,0,16.2
QStE380TM,8,4,60,135.9,-4.39,0,17
QStE380TM,8,4,60,137.8,-4.14,0,17.9
QStE380TM,8,4,60,139.7,-3.9,0,18.8
QStE380TM,8,4,60,141.6,-3.66,0,19.8
QStE380TM,8,4,60,143.5,-3.43,0,21
QStE380TM,8,4,60,145.4,-3.2,0,22.4
QStE380TM,8,4,60,147.3,-2.98,0,23.8
QStE380TM,8,4,60,149.3,-2.77,0,24.9
QStE380TM,8,4,60,150,-2.69,0,26.1
QStE380TM,8,4,60,151.2,-2.56,0,28.4
QStE380TM,8,4,60,153.1,-2.35,0,30.7
QStE380TM,8,4,60,155.1,-2.15,0,34.4
QStE380TM,8,4,60,157,-1.96,0,38
QStE380TM,8,4,60,158.9,-1.78,0,41.7
QStE380TM,8,4,60,160.9,-1.59,0,48.3
QStE380TM,8,4,60,162.8,-1.42,0,54.8
QStE380TM,8,4,60,164.7,-1.24,0,61.4
QStE380TM,8,4,60,166.6,-1.08,0,73.8
QStE380TM,8,4,60,168.4,-0.92,0,86.3
QStE380TM,8,4,60,170.3,-0.76,0,98.7
QStE380TM,8,4,60,172.2,-0.61,0,159.8
QStE380TM,8,4,60,174,-0.46,0,220.9
QStE380TM,8,4,60,175.9,-0.31,0,282
QStE380TM,8,4,60,177.7,-0.17,0,343.1
QStE380TM,8,4,60,179.4,-0.04,0,404.2
QStE380TM,10,4,60,90,-17.12,-17.12,8.6
QStE380TM,10,4,60,91,-16.73,0,8.7
QStE380TM,10,4,60,92.5,-16.14,0,8.9
QStE380TM,10,4,60,94,-15.61,0,9.1
QStE380TM,10,4,60,95.5,-15.11,0,9.2
QStE380TM,10,4,60,97,-14.59,0,9.3
