technology,airbending,source,DataManager@27.03.2019 13:31:39
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
AlMg3,0.5,0.5,6.4,147.1,-0.221,0,2.5
AlMg3,0.5,0.5,6.4,150,-0.232,0,3.1
AlMg3,0.5,0.5,6.4,163.5,-0.093,0,5.6
AlMg3,0.5,1,5,30,-8.875,0.241,1
AlMg3,0.5,1,5,30.4,-8.785,0.23,1
AlMg3,0.5,1,5,31.3,-8.469,0.214,1
AlMg3,0.5,1,5,33.5,-7.645,0.166,1
AlMg3,0.5,1,5,36.1,-6.839,0.111,1
AlMg3,0.5,1,5,38.9,-6.054,0.049,1
AlMg3,0.5,1,5,41.8,-5.389,-0.012,1
AlMg3,0.5,1,5,45,-4.806,-0.078,1
AlMg3,0.5,1,5,45.2,-4.743,-0.084,1
AlMg3,0.5,1,5,48.9,-4.156,-0.159,1
AlMg3,0.5,1,5,53,-3.601,-0.245,1
AlMg3,0.5,1,5,57.1,-3.168,-0.332,1
AlMg3,0.5,1,5,60,-2.817,-0.393,1
AlMg3,0.5,1,5,62.3,-2.676,-0.441,1
AlMg3,0.5,1,5,67.6,-2.283,-0.557,1
AlMg3,0.5,1,5,73.8,-1.897,-0.697,1
AlMg3,0.5,1,5,75,-1.838,-0.723,1
AlMg3,0.5,1,5,80.4,-1.571,-0.861,1
AlMg3,0.5,1,5,84,-1.448,-0.973,1
AlMg3,0.5,1,5,90,-1.264,-1.264,1
AlMg3,0.5,1,5,91.8,-1.163,0,1
AlMg3,0.5,1,5,98.5,-0.962,0,1
AlMg3,0.5,1,5,105,-0.833,0,1.1
AlMg3,0.5,1,5,108,-0.743,0,1.1
AlMg3,0.5,1,5,114.5,-0.612,0,1.1
AlMg3,0.5,1,5,120,-0.493,0,1.2
AlMg3,0.5,1,5,123.4,-0.475,0,1.3
AlMg3,0.5,1,5,132.5,-0.359,0,1.5
AlMg3,0.5,1,5,135,-0.286,0,1.5
AlMg3,0.5,1,5,141.6,-0.263,0,1.9
AlMg3,0.5,1,5,150,-0.215,0,2.5
AlMg3,0.5,1,5,151,-0.181,0,2.6
AlMg3,0.5,1,5,160.7,-0.109,0,4.1
AlMg3,0.5,1,5,170.4,-0.049,0,8.9
AlMg3,0.5,1,6,30,-9.705,0.299,1
AlMg3,0.5,1,6,30.7,-9.447,0.283,1
AlMg3,0.5,1,6,32.6,-8.705,0.244,1
AlMg3,0.5,1,6,34.6,-8.033,0.203,1
AlMg3,0.5,1,6,37.4,-7.143,0.138,1
AlMg3,0.5,1,6,40.7,-6.191,0.059,1
AlMg3,0.5,1,6,44.5,-5.327,-0.027,1
AlMg3,0.5,1,6,45,-5.263,-0.037,1
AlMg3,0.5,1,6,48.7,-4.547,-0.122,1
AlMg3,0.5,1,6,53.4,-3.832,-0.229,1
AlMg3,0.5,1,6,58.6,-3.22,-0.345,1
AlMg3,0.5,1,6,60,-3.058,-0.379,1
AlMg3,0.5,1,6,63.9,-2.773,-0.466,1
AlMg3,0.5,1,6,69,-2.37,-0.584,1
AlMg3,0.5,1,6,75,-1.961,-0.728,1
AlMg3,0.5,1,6,78.3,-1.769,-0.816,1
AlMg3,0.5,1,6,84.6,-1.513,-1.016,1
AlMg3,0.5,1,6,90,-1.329,-1.329,1
AlMg3,0.5,1,6,92.6,-1.203,0,1
AlMg3,0.5,1,6,101.1,-0.945,0,1.1
AlMg3,0.5,1,6,105,-0.871,0,1.1
AlMg3,0.5,1,6,110.7,-0.723,0,1.2
AlMg3,0.5,1,6,120,-0.523,0,1.4
AlMg3,0.5,1,6,121.2,-0.536,0,1.4
AlMg3,0.5,1,6,132.1,-0.383,0,1.7
AlMg3,0.5,1,6,135,-0.312,0,1.7
AlMg3,0.5,1,6,143.4,-0.257,0,2.3
AlMg3,0.5,1,6,150,-0.23,0,3
AlMg3,0.5,1,6,155.2,-0.153,0,3.6
AlMg3,0.5,1,6,167.5,-0.067,0,7.6
AlMg3,0.5,1,6.4,30,-9.705,0.299,1
AlMg3,0.5,1,6.4,30.7,-9.447,0.283,1
AlMg3,0.5,1,6.4,32.6,-8.705,0.244,1
AlMg3,0.5,1,6.4,34.6,-8.033,0.203,1
AlMg3,0.5,1,6.4,37.4,-7.143,0.138,1
AlMg3,0.5,1,6.4,40.7,-6.191,0.059,1
AlMg3,0.5,1,6.4,44.5,-5.327,-0.027,1
AlMg3,0.5,1,6.4,45,-5.263,-0.037,1
AlMg3,0.5,1,6.4,48.7,-4.547,-0.122,1
AlMg3,0.5,1,6.4,53.4,-3.832,-0.229,1
AlMg3,0.5,1,6.4,58.6,-3.22,-0.345,1
AlMg3,0.5,1,6.4,60,-3.058,-0.379,1
AlMg3,0.5,1,6.4,63.9,-2.773,-0.466,1
AlMg3,0.5,1,6.4,69,-2.37,-0.584,1
AlMg3,0.5,1,6.4,75,-1.961,-0.728,1
AlMg3,0.5,1,6.4,78.3,-1.769,-0.816,1
AlMg3,0.5,1,6.4,84.6,-1.513,-1.016,1
AlMg3,0.5,1,6.4,90,-1.329,-1.329,1
AlMg3,0.5,1,6.4,92.6,-1.203,0,1
AlMg3,0.5,1,6.4,101.1,-0.945,0,1.1
AlMg3,0.5,1,6.4,105,-0.871,0,1.1
AlMg3,0.5,1,6.4,110.7,-0.723,0,1.2
AlMg3,0.5,1,6.4,120,-0.523,0,1.4
AlMg3,0.5,1,6.4,121.2,-0.536,0,1.4
AlMg3,0.5,1,6.4,132.1,-0.383,0,1.7
AlMg3,0.5,1,6.4,135,-0.312,0,1.7
AlMg3,0.5,1,6.4,143.4,-0.257,0,2.3
AlMg3,0.5,1,6.4,150,-0.23,0,3
AlMg3,0.5,1,6.4,155.2,-0.153,0,3.6
AlMg3,0.5,1,6.4,167.5,-0.067,0,7.6
AlMg3,0.7,0.2,4,30,-8.003,-0.169,0.5
AlMg3,0.7,0.2,4,30.7,-7.819,-0.182,0.5
AlMg3,0.7,0.2,4,33.2,-7.067,-0.219,0.5
AlMg3,0.7,0.2,4,37.1,-6.013,-0.282,0.5
AlMg3,0.7,0.2,4,40.7,-5.256,-0.339,0.5
AlMg3,0.7,0.2,4,45,-4.526,-0.407,0.5
AlMg3,0.7,0.2,4,46.3,-4.295,-0.428,0.5
AlMg3,0.7,0.2,4,50.6,-3.734,-0.495,0.5
AlMg3,0.7,0.2,4,56.1,-3.187,-0.582,0.6
AlMg3,0.7,0.2,4,60,-2.796,-0.643,0.6
AlMg3,0.7,0.2,4,63.5,-2.572,-0.699,0.6
AlMg3,0.7,0.2,4,69.9,-2.18,-0.812,0.6
AlMg3,0.7,0.2,4,75,-1.919,-0.909,0.7
AlMg3,0.7,0.2,4,77.7,-1.806,-0.967,0.7
AlMg3,0.7,0.2,4,86.6,-1.47,-1.216,0.7
AlMg3,0.7,0.2,4,90,-1.387,-1.387,0.8
AlMg3,0.7,0.2,4,93,-1.277,0,0.8
AlMg3,0.7,0.2,4,99.7,-1.076,0,0.8
AlMg3,0.7,0.2,4,105,-0.971,0,0.8
AlMg3,0.7,0.2,4,112.3,-0.792,0,1
AlMg3,0.7,0.2,4,120,-0.628,0,1.2
