technology,airbending,source,DataManager@27.03.2019 13:31:43
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
St37,0.5,0.5,6,34.8,-7.54,0.134,0.8
St37,0.5,0.5,6,37.61,-6.737,0.079,0.8
St37,0.5,0.5,6,42.12,-5.566,-0.018,0.8
St37,0.5,0.5,6,45,-4.987,-0.077,0.8
St37,0.5,0.5,6,47.15,-4.56,-0.122,0.8
St37,0.5,0.5,6,52.94,-3.688,-0.238,0.8
St37,0.5,0.5,6,59.6,-2.942,-0.37,0.8
St37,0.5,0.5,6,60,-2.887,-0.379,0.8
St37,0.5,0.5,6,67.45,-2.297,-0.529,0.8
St37,0.5,0.5,6,74.97,-1.868,-0.697,0.8
St37,0.5,0.5,6,75,-1.845,-0.698,0.8
St37,0.5,0.5,6,84.86,-1.422,-0.994,0.9
St37,0.5,0.5,6,90,-1.26,-1.26,0.9
St37,0.5,0.5,6,94.39,-1.108,0,1
St37,0.5,0.5,6,105,-0.849,0,1.1
St37,0.5,0.5,6,105.02,-0.829,0,1.1
St37,0.5,0.5,6,120,-0.533,0,1.4
St37,0.5,0.5,6,120.46,-0.547,0,1.4
St37,0.5,0.5,6,132.79,-0.369,0,1.8
St37,0.5,0.5,6,135,-0.328,0,1.8
St37,0.5,0.5,6,147.88,-0.21,0,2.7
St37,0.5,0.5,6,150,-0.221,0,3
St37,0.5,0.5,6,164.33,-0.085,0,5.5
St37,0.5,0.5,6.4,30,-9.182,0.219,0.7
St37,0.5,0.5,6.4,32.22,-8.363,0.181,0.7
St37,0.5,0.5,6.4,34.8,-7.54,0.134,0.8
St37,0.5,0.5,6.4,37.61,-6.737,0.079,0.8
St37,0.5,0.5,6.4,42.12,-5.566,-0.018,0.8
St37,0.5,0.5,6.4,45,-4.987,-0.077,0.8
St37,0.5,0.5,6.4,47.15,-4.56,-0.122,0.8
St37,0.5,0.5,6.4,52.94,-3.688,-0.238,0.8
St37,0.5,0.5,6.4,59.6,-2.942,-0.37,0.8
St37,0.5,0.5,6.4,60,-2.887,-0.379,0.8
St37,0.5,0.5,6.4,67.45,-2.297,-0.529,0.8
St37,0.5,0.5,6.4,74.97,-1.868,-0.697,0.8
St37,0.5,0.5,6.4,75,-1.845,-0.698,0.8
St37,0.5,0.5,6.4,84.86,-1.422,-0.994,0.9
St37,0.5,0.5,6.4,90,-1.26,-1.26,0.9
St37,0.5,0.5,6.4,94.39,-1.108,0,1
St37,0.5,0.5,6.4,105,-0.849,0,1.1
St37,0.5,0.5,6.4,105.02,-0.829,0,1.1
St37,0.5,0.5,6.4,120,-0.533,0,1.4
St37,0.5,0.5,6.4,120.46,-0.547,0,1.4
St37,0.5,0.5,6.4,132.79,-0.369,0,1.8
St37,0.5,0.5,6.4,135,-0.328,0,1.8
St37,0.5,0.5,6.4,147.88,-0.21,0,2.7
St37,0.5,0.5,6.4,150,-0.221,0,3
St37,0.5,0.5,6.4,164.33,-0.085,0,5.5
St37,0.5,1,5,30,-8.809,0.241,1
St37,0.5,1,5,30.66,-8.624,0.225,1
St37,0.5,1,5,31.51,-8.317,0.209,1
St37,0.5,1,5,33.73,-7.536,0.163,1
St37,0.5,1,5,36.32,-6.701,0.106,1
St37,0.5,1,5,39.01,-6.001,0.05,1
St37,0.5,1,5,42.01,-5.326,-0.013,1
St37,0.5,1,5,45,-4.779,-0.076,1
St37,0.5,1,5,45.42,-4.665,-0.085,1
St37,0.5,1,5,49.31,-4.045,-0.166,1
St37,0.5,1,5,53.1,-3.574,-0.242,1
St37,0.5,1,5,57.3,-3.139,-0.328,1
St37,0.5,1,5,60,-2.806,-0.386,1
St37,0.5,1,5,62.69,-2.631,-0.442,1
St37,0.5,1,5,68.1,-2.234,-0.559,1
St37,0.5,1,5,73.42,-1.934,-0.683,1
St37,0.5,1,5,75,-1.831,-0.72,1
St37,0.5,1,5,79.69,-1.614,-0.84,1
St37,0.5,1,5,84.89,-1.397,-0.993,1
St37,0.5,1,5,90,-1.257,-1.257,1
St37,0.5,1,5,94.81,-1.037,0,1
St37,0.5,1,5,102.6,-0.838,0,1
St37,0.5,1,5,105,-0.824,0,1
St37,0.5,1,5,110.75,-0.673,0,1.1
St37,0.5,1,5,114.49,-0.607,0,1.1
St37,0.5,1,5,120,-0.484,0,1.3
St37,0.5,1,5,124.08,-0.461,0,1.3
St37,0.5,1,5,132.29,-0.358,0,1.6
St37,0.5,1,5,135,-0.278,0,1.6
St37,0.5,1,5,141.82,-0.258,0,2
St37,0.5,1,5,150,-0.212,0,2.6
St37,0.5,1,5,151.67,-0.173,0,2.7
St37,0.5,1,5,161.42,-0.102,0,4.2
St37,0.5,1,5,171.02,-0.044,0,8.4
St37,0.5,1,6,30,-9.648,0.305,1
St37,0.5,1,6,30.83,-9.329,0.287,1
St37,0.5,1,6,32.77,-8.606,0.249,1
St37,0.5,1,6,34.76,-7.946,0.209,1
St37,0.5,1,6,37.62,-7.018,0.141,1
St37,0.5,1,6,40.99,-6.084,0.061,1
St37,0.5,1,6,44.75,-5.234,-0.026,1
St37,0.5,1,6,45,-5.225,-0.03,1
St37,0.5,1,6,48.95,-4.467,-0.121,1
St37,0.5,1,6,53.58,-3.792,-0.225,1
St37,0.5,1,6,58.76,-3.189,-0.341,1
St37,0.5,1,6,60,-3.027,-0.37,1
St37,0.5,1,6,64.59,-2.648,-0.473,1
St37,0.5,1,6,69.85,-2.286,-0.599,1
St37,0.5,1,6,75,-1.938,-0.726,1
St37,0.5,1,6,78.53,-1.755,-0.823,1
St37,0.5,1,6,85.56,-1.455,-1.057,1
St37,0.5,1,6,90,-1.316,-1.316,1
St37,0.5,1,6,93.1,-1.174,0,1
St37,0.5,1,6,101.98,-0.914,0,1.1
St37,0.5,1,6,105,-0.868,0,1.1
St37,0.5,1,6,111.98,-0.693,0,1.3
St37,0.5,1,6,120,-0.523,0,1.4
St37,0.5,1,6,124.26,-0.482,0,1.5
St37,0.5,1,6,132.56,-0.373,0,1.8
St37,0.5,1,6,135,-0.309,0,1.8
St37,0.5,1,6,143.84,-0.249,0,2.4
St37,0.5,1,6,150,-0.223,0,3
St37,0.5,1,6,156.01,-0.143,0,3.6
St37,0.5,1,6,168.27,-0.06,0,7.3
St37,0.5,1,6.4,30,-9.648,0.305,1
St37,0.5,1,6.4,30.83,-9.329,0.287,1
St37,0.5,1,6.4,32.77,-8.606,0.249,1
St37,0.5,1,6.4,34.76,-7.946,0.209,1
St37,0.5,1,6.4,37.62,-7.018,0.141,1
St37,0.5,1,6.4,40.99,-6.084,0.061,1
St37,0.5,1,6.4,44.75,-5.234,-0.026,1
St37,0.5,1,6.4,45,-5.225,-0.03,1
St37,0.5,1,6.4,48.95,-4.467,-0.121,1
St37,0.5,1,6.4,53.58,-3.792,-0.225,1
St37,0.5,1,6.4,58.76,-3.189,-0.341,1
St37,0.5,1,6.4,60,-3.027,-0.37,1
St37,0.5,1,6.4,64.59,-2.648,-0.473,1
St37,0.5,1,6.4,69.85,-2.286,-0.599,1
